HOU,Loss,OKC
CHI,Win,WAS
MIL,Win,MIA
POR,Win,PHI
GS,Win,BOS
DET,Win,MIL
DAL,Loss,SA
SAC,Win,BOS
LAC,Win,UTA
CHI,Loss,CHA
IND,Win,MEM
ORL,Loss,MIA
HOU,Win,ATL
SA,Win,BKN
OKC,Win,PHO
WAS,Loss,DAL
DET,Win,SAC
NY,Loss,POR
NO,Loss,ATL
DEN,Win,LAC
LAL,Loss,PHI
ORL,Loss,CHI
CLE,Loss,SAC
TOR,Win,POR
IND,Win,WAS
BOS,Loss,MEM
MIA,Win,DAL
HOU,Win,NO
OKC,Loss,BKN
MIL,Loss,SA
PHO,Win,PHI
UTA,Win,MIN
GS,Win,LAC
NY,Win,SA
DEN,Loss,MIN
CHA,Loss,CLE
TOR,Loss,SAC
WAS,Loss,BKN
MIA,Loss,CHI
DET,Win,ATL
OKC,Win,PHI
BOS,Win,IND
MEM,Loss,POR
MIL,Loss,HOU
PHO,Loss,UTA
LAC,Win,LAL
