CHA,Away,Loss,UTA,Home
UTA,Home,Win,CHA,Away
DAL,Away,Loss,GS,Home
GS,Home,Win,DAL,Away
ATL,Away,Loss,IND,Home
IND,Home,Win,ATL,Away
DEN,Away,Win,WAS,Home
WAS,Home,Loss,DEN,Away
MIL,Away,Loss,MEM,Home
MEM,Home,Win,MIL,Away
SAC,Away,Loss,NO,Home
NO,Home,Win,SAC,Away
NY,Away,Loss,TOR,Home
TOR,Home,Win,NY,Away
CHI,Away,Win,LAL,Home
LAL,Home,Loss,CHI,Away
ORL,Away,Loss,BOS,Home
BOS,Home,Win,ORL,Away
CLE,Away,Win,DET,Home
DET,Home,Loss,CLE,Away
PHO,Away,Loss,NY,Home
NY,Home,Win,PHO,Away
MIA,Away,Win,MIL,Home
MIL,Home,Loss,MIA,Away
HOU,Away,Loss,OKC,Home
OKC,Home,Win,HOU,Away
BKN,Away,Loss,DAL,Home
DAL,Home,Win,BKN,Away
MIN,Away,Loss,UTA,Home
UTA,Home,Win,MIN,Away
CHA,Away,Loss,POR,Home
POR,Home,Win,CHA,Away
LAL,Away,Loss,LAC,Home
LAC,Home,Win,LAL,Away
GS,Away,Win,PHI,Home
PHI,Home,Loss,GS,Away
DET,Away,Loss,TOR,Home
TOR,Home,Win,DET,Away
DEN,Away,Loss,IND,Home
IND,Home,Win,DEN,Away
BKN,Away,Loss,NO,Home
NO,Home,Win,BKN,Away
WAS,Away,Win,HOU,Home
HOU,Home,Loss,WAS,Away
SAC,Away,Loss,MEM,Home
MEM,Home,Win,SAC,Away
SA,Away,Loss,CLE,Home
CLE,Home,Win,SA,Away
CHI,Away,Loss,LAC,Home
LAC,Home,Win,CHI,Away
ATL,Away,Loss,MIA,Home
MIA,Home,Win,ATL,Away
BOS,Away,Loss,ORL,Home
ORL,Home,Win,BOS,Away
PHO,Away,Loss,DAL,Home
DAL,Home,Win,PHO,Away
GS,Away,Win,NY,Home
NY,Home,Loss,GS,Away
MIN,Away,Loss,POR,Home
POR,Home,Win,MIN,Away
CHA,Away,Win,LAL,Home
LAL,Home,Loss,CHA,Away
CLE,Away,Win,IND,Home
IND,Home,Loss,CLE,Away
DET,Away,Win,BKN,Home
BKN,Home,Loss,DET,Away
DAL,Away,Loss,ATL,Home
ATL,Home,Win,DAL,Away
MEM,Away,Win,NO,Home
NO,Home,Loss,MEM,Away
WAS,Away,Loss,OKC,Home
OKC,Home,Win,WAS,Away
ORL,Away,Loss,SA,Home
SA,Home,Win,ORL,Away
TOR,Away,Loss,DEN,Home
DEN,Home,Win,TOR,Away
CHI,Away,Loss,UTA,Home
UTA,Home,Win,CHI,Away
MIL,Away,Loss,SAC,Home
SAC,Home,Win,MIL,Away
BOS,Away,Win,NY,Home
NY,Home,Loss,BOS,Away
MIA,Away,Loss,HOU,Home
